Engine,Timestamp,ProgramID,Weight,NumEdges,NumSecCov,NumSecCovTotal,NumSecPerProgram,NumSecPerProgramTotal,TotalPrograms,TotalProgramsLower,TotalProgramsGreater,CodeFilePath
GenerativeEngine,2024-10-10 12:06:05,B3942F41-36F8-40A0-A72E-9ECCE1E1841E,1.0,514191.0,258.0,2682.0,0.0,5.474749141837e-312,1,1,0,
GenerativeEngine,2024-10-10 12:06:08,E9D700EE-17F7-4FBE-B550-C0D1A90ABC3D,1.0,514191.0,258.0,2682.0,0.0,5.474749141837e-312,2,2,0,
GenerativeEngine,2024-10-10 12:06:08,FD46BCA3-0748-46B7-B87A-AC915680A580,1.0,514191.0,258.0,2682.0,0.0,5.474749141837e-312,3,3,0,
GenerativeEngine,2024-10-10 12:06:08,10EB16F8-0D9B-4D36-924A-DF1F817CB7D8,1.0,514191.0,258.0,2682.0,0.0,5.474749141837e-312,4,4,0,
GenerativeEngine,2024-10-10 12:06:09,3B94CDE2-9D9C-4284-B155-265D28E135D1,1.0,514191.0,258.0,2682.0,0.0,5.474749141837e-312,5,5,0,
GenerativeEngine,2024-10-10 12:06:09,AB532007-7BDF-4F6F-B6D9-E23C569F4D48,1.0,514191.0,258.0,2682.0,0.0,5.474749141837e-312,6,6,0,
GenerativeEngine,2024-10-10 12:06:09,454FEC4D-76FC-47BA-895C-1344B9B0BF09,1.0,514191.0,258.0,2682.0,0.0,5.474749141837e-312,7,7,0,
GenerativeEngine,2024-10-10 12:06:09,67F0E655-5D21-4A97-A77F-DA30F5D63401,1.0,514191.0,258.0,2682.0,0.0,5.474749141837e-312,8,8,0,
GenerativeEngine,2024-10-10 12:06:09,AE8D6AE3-5292-467C-9FBD-E4DD6461B9F9,1.0,514191.0,258.0,2682.0,0.0,5.474749141837e-312,9,9,0,
GenerativeEngine,2024-10-10 12:06:09,C3B7E649-1A0E-4BB2-BC38-415307A48AA2,1.0,514191.0,258.0,2682.0,0.0,5.474749141837e-312,10,10,0,
GenerativeEngine,2024-10-10 12:06:09,18A4A17F-AB8E-4E04-A0BB-37D14DBE68EE,1.0,514191.0,258.0,2682.0,0.0,5.474749141837e-312,11,11,0,
GenerativeEngine,2024-10-10 12:06:09,E89BB6FD-9041-440A-AD50-48B8767085BC,1.0,514191.0,258.0,2682.0,0.0,5.474749141837e-312,12,12,0,
