Engine,Timestamp,ProgramID,Weight,NumEdges,NumSecCov,NumSecCovTotal,NumSecPerProgram,NumSecPerProgramTotal,TotalPrograms,TotalProgramsLower,TotalProgramsGreater,CodeFilePath
GenerativeEngine,2024-10-11 13:07:40,9B329874-6FD2-4CB0-81EA-DDF744280943,1.0,112878.0,0.0,0.0,0.0,0.0,1,1,0,
GenerativeEngine,2024-10-11 13:07:40,EF5B4FB9-6A97-4520-B6C9-EE78CF2C774F,1.0,112878.0,0.0,0.0,0.0,0.0,2,2,0,
GenerativeEngine,2024-10-11 13:07:40,B8EFCE4A-5BB0-4C44-B1DA-52CF699E4622,1.0,112878.0,0.0,0.0,0.0,0.0,3,3,0,
GenerativeEngine,2024-10-11 13:07:40,261AAF06-AE84-4C33-A5C0-4C93F275FD71,1.0,112878.0,0.0,0.0,0.0,0.0,4,4,0,
GenerativeEngine,2024-10-11 13:07:40,1E1029B5-8547-4092-BC96-917BB139393F,1.0,112878.0,0.0,0.0,0.0,0.0,5,5,0,
GenerativeEngine,2024-10-11 13:07:40,21601F6A-BC05-430D-AAEF-5F3CE681A1B0,1.0,112878.0,0.0,0.0,0.0,0.0,6,6,0,
GenerativeEngine,2024-10-11 13:07:41,D54E2453-1B36-4262-B6BF-F8D47FBAB116,1.0,112878.0,524.0,9785.0,109.0,5821.0,7,7,0,
GenerativeEngine,2024-10-11 13:07:45,98455940-7FDE-4269-AA9C-77C0D1F2A988,1.0,112878.0,524.0,9785.0,109.0,5821.0,8,8,0,
GenerativeEngine,2024-10-11 13:07:45,C4D1FBA5-0F4A-4710-B08D-507DEB6E2683,1.0,112878.0,524.0,9785.0,109.0,5821.0,9,9,0,
GenerativeEngine,2024-10-11 13:07:46,CD4FA1D3-121C-4A11-89ED-AF48E0D911E7,1.0,112878.0,524.0,9785.0,109.0,5821.0,10,10,0,
GenerativeEngine,2024-10-11 13:07:46,48CE8AF3-076F-4D7A-8B41-459EAC9BB08E,1.0,112878.0,524.0,9785.0,109.0,5821.0,11,11,0,
GenerativeEngine,2024-10-11 13:07:46,18E36079-E49C-4C9B-810A-5DEC9438D1FB,1.0,112878.0,527.0,24820.0,112.0,20856.0,12,12,0,
GenerativeEngine,2024-10-11 13:07:49,493D63E5-9486-40D4-996D-660D7BAC7649,1.0,112878.0,527.0,24820.0,112.0,20856.0,13,13,0,
GenerativeEngine,2024-10-11 13:07:50,AF3D5BD5-574C-48D6-A306-4DE165E4FA40,1.0,112878.0,527.0,24820.0,112.0,20856.0,14,14,0,
GenerativeEngine,2024-10-11 13:07:50,E1420664-B765-4032-86D7-D4047C71C544,1.0,112878.0,527.0,24820.0,112.0,20856.0,15,15,0,
GenerativeEngine,2024-10-11 13:07:50,04160D5B-C879-4F6C-A9CC-9B4CB93D7DC3,1.0,112878.0,527.0,24820.0,112.0,20856.0,16,16,0,
GenerativeEngine,2024-10-11 13:07:50,62CEAB4D-4671-46A1-915F-BBCB673C62FF,1.0,112878.0,527.0,24820.0,112.0,20856.0,17,17,0,
GenerativeEngine,2024-10-11 13:07:50,AA5BF108-4463-4B13-9680-BA21715C6574,1.0,112878.0,527.0,24820.0,112.0,20856.0,18,18,0,
GenerativeEngine,2024-10-11 13:07:50,23643D99-24FC-40C6-83EC-8B8C8C6694C0,1.0,112878.0,527.0,24820.0,112.0,20856.0,19,19,0,
GenerativeEngine,2024-10-11 13:07:50,3D920A73-2DE6-4F07-B2CF-BF17F1B2489E,1.0,112878.0,527.0,24820.0,112.0,20856.0,20,20,0,
GenerativeEngine,2024-10-11 13:07:50,9C4B8160-A02A-4592-9839-D16A0455B7ED,1.0,112878.0,527.0,24820.0,112.0,20856.0,21,21,0,
GenerativeEngine,2024-10-11 13:07:50,FE3A742F-C7A2-4B3E-AFC5-F8C192948D39,1.0,112878.0,527.0,24820.0,112.0,20856.0,22,22,0,
GenerativeEngine,2024-10-11 13:07:50,5FEDB1AE-76E6-4F1B-9BB9-ECC852AFF23E,1.0,112878.0,527.0,24820.0,112.0,20856.0,23,23,0,
GenerativeEngine,2024-10-11 13:07:50,4D65330A-5FA3-49A1-8ABE-33E427956287,1.0,112878.0,527.0,24820.0,112.0,20856.0,24,24,0,
GenerativeEngine,2024-10-11 13:07:50,8E1B2AB0-A576-4398-A312-8ECB97B35ACD,1.0,112878.0,527.0,24820.0,112.0,20856.0,25,25,0,
GenerativeEngine,2024-10-11 13:07:51,8F903582-CD4C-444A-A3AA-EF5C1C70F79F,1.0,112878.0,567.0,52505.0,152.0,48541.0,26,26,0,
GenerativeEngine,2024-10-11 13:07:59,9C8B0267-4730-4D27-B2F3-AA259006347E,1.0,112878.0,567.0,52505.0,152.0,48541.0,27,27,0,
GenerativeEngine,2024-10-11 13:07:59,A40F3149-D871-414B-B1D4-746659E20B98,1.0,112878.0,567.0,52505.0,152.0,48541.0,28,28,0,
GenerativeEngine,2024-10-11 13:08:00,D781DA3D-5A00-4A9D-B16C-67FFD9804784,1.0,112878.0,567.0,77613.0,152.0,73649.0,29,29,0,
GenerativeEngine,2024-10-11 13:08:05,D8427970-2818-453C-AE68-94BF6390791D,1.0,112878.0,567.0,77613.0,152.0,73649.0,30,30,0,
GenerativeEngine,2024-10-11 13:08:06,FD39028C-AB3A-44E9-A375-7477536CFE53,1.0,112878.0,567.0,112655.0,152.0,108691.0,31,31,0,
GenerativeEngine,2024-10-11 13:08:10,002CF776-E1F4-48AA-905B-C51BAA5E1C4E,1.0,112878.0,567.0,112655.0,152.0,108691.0,32,32,0,
GenerativeEngine,2024-10-11 13:08:10,D6D821F8-742F-4A45-AE30-FE6E4DA6E057,1.0,112878.0,567.0,112655.0,152.0,108691.0,33,33,0,
GenerativeEngine,2024-10-11 13:08:11,147FB396-1101-4713-A916-F47668D34153,1.0,112878.0,567.0,144063.0,152.0,140099.0,34,34,0,
GenerativeEngine,2024-10-11 13:08:13,693FE302-EB71-48CC-B4A4-131FC4575DA8,1.0,112878.0,567.0,144063.0,152.0,140099.0,35,35,0,
GenerativeEngine,2024-10-11 13:08:14,C780A11C-986D-4688-BA18-A1C2D22D6B45,1.0,112878.0,567.0,144063.0,152.0,140099.0,36,36,0,
GenerativeEngine,2024-10-11 13:08:14,AFFB93BA-7A1A-4CCE-AF9C-02D1D7E804FF,1.0,112878.0,567.0,144063.0,152.0,140099.0,37,37,0,
GenerativeEngine,2024-10-11 13:08:14,BB9ECE5F-7E01-4D07-BDBA-80DBF5FC9BD3,1.0,112878.0,568.0,164363.0,153.0,160399.0,38,38,0,
GenerativeEngine,2024-10-11 13:08:18,790080EB-FA1B-4C8D-B84A-DC8E4CBD4660,1.0,112878.0,568.0,164363.0,153.0,160399.0,39,39,0,
GenerativeEngine,2024-10-11 13:08:19,06E4E12E-4A89-4117-883F-17C3F7650AF8,1.0,112878.0,568.0,164363.0,153.0,160399.0,40,40,0,
GenerativeEngine,2024-10-11 13:08:19,C5AF9128-3001-4628-B6FF-EC5585CABFEE,1.0,112878.0,568.0,164363.0,153.0,160399.0,41,41,0,
GenerativeEngine,2024-10-11 13:08:19,F0C4A49C-4C9F-4BF1-9FBD-05F4FF92D933,1.0,112878.0,568.0,164363.0,153.0,160399.0,42,42,0,
GenerativeEngine,2024-10-11 13:08:19,A9B76457-F96D-44A3-A9DE-C6A20D729A14,1.0,112878.0,568.0,164363.0,153.0,160399.0,43,43,0,
GenerativeEngine,2024-10-11 13:08:19,4FC2E2BF-E1F9-4A15-8FD0-E0BD73F75208,1.0,112878.0,568.0,164363.0,153.0,160399.0,44,44,0,
GenerativeEngine,2024-10-11 13:08:19,C63DEF74-7398-4195-A994-2E2439952D13,1.0,112878.0,568.0,164363.0,153.0,160399.0,45,45,0,
GenerativeEngine,2024-10-11 13:08:19,584CAB47-3190-47E1-95EB-23E1E51672DC,1.0,112878.0,568.0,164363.0,153.0,160399.0,46,46,0,
GenerativeEngine,2024-10-11 13:08:19,B72095B2-0710-40D4-BEFB-CBD913003F09,1.0,112878.0,568.0,164363.0,153.0,160399.0,47,47,0,
GenerativeEngine,2024-10-11 13:08:19,F058F008-1C56-49E7-BC25-FAF7EE1572AD,1.0,112878.0,568.0,164363.0,153.0,160399.0,48,48,0,
GenerativeEngine,2024-10-11 13:08:19,ECB259F0-4CDC-4BDC-AB3E-B429021C23B1,1.0,112878.0,568.0,164363.0,153.0,160399.0,49,49,0,
GenerativeEngine,2024-10-11 13:08:19,5A3AB1D8-4A48-4705-83E8-15CFCDAF4F09,1.0,112878.0,568.0,164363.0,153.0,160399.0,50,50,0,
GenerativeEngine,2024-10-11 13:08:19,B2414F94-5130-422A-931E-08D7B31E5EE5,1.0,112878.0,568.0,164363.0,153.0,160399.0,51,51,0,
GenerativeEngine,2024-10-11 13:08:20,12487E91-71B6-4300-BC07-2100A815F374,1.0,112878.0,568.0,164363.0,153.0,160399.0,52,52,0,
