Engine,Timestamp,ProgramID,Weight,NumEdges,NumSecCov,NumSecCovTotal,NumSecPerProgram,NumSecPerProgramTotal,TotalPrograms,TotalProgramsLower,TotalProgramsGreater,CodeFilePath
GenerativeEngine,2024-10-13 19:58:04,696FA164-0DDF-427D-8A7C-167FED02E385,1000.0,744818.0,258.0,5970.0,6.0,3810.0,1,0,1,
GenerativeEngine,2024-10-13 19:58:04,BD838F1B-5746-429E-BD6B-E87A7EA8C277,1.0,744818.0,258.0,15639.0,6.0,13479.0,2,1,1,
GenerativeEngine,2024-10-13 19:58:04,A9A50D32-9C45-48C2-A87E-BF3A6373D3AA,1.0,744818.0,258.0,24428.0,6.0,22268.0,3,2,1,
GenerativeEngine,2024-10-13 19:58:05,6D7A0BBE-6E0F-4D29-8AF4-D75D9663ECBA,1.0,744818.0,258.0,37320.0,6.0,35160.0,4,3,1,
GenerativeEngine,2024-10-13 19:58:05,08D943A5-5AB2-43CB-BFDD-47F70D44925A,1.0,744818.0,258.0,46318.0,6.0,44158.0,5,4,1,
GenerativeEngine,2024-10-13 19:58:05,F4C1B253-672B-48EB-A111-6C88423FF910,1.0,744818.0,258.0,46318.0,6.0,44158.0,6,5,1,
GenerativeEngine,2024-10-13 19:58:05,CC0DED95-C377-4559-AD8E-AE58395D5454,1.0,744818.0,258.0,46318.0,6.0,44158.0,7,6,1,
GenerativeEngine,2024-10-13 19:58:05,48E85051-AAB9-4AF3-9466-67DACAB0B740,1.0,744818.0,258.0,46318.0,6.0,44158.0,8,7,1,
GenerativeEngine,2024-10-13 19:58:05,D195166F-EC28-4401-B951-94A0D06840A0,1.0,744818.0,258.0,64738.0,6.0,62578.0,9,8,1,
GenerativeEngine,2024-10-13 19:58:05,1DD37B4F-3C8B-4051-8808-E12539A4CDB1,1.0,744818.0,258.0,80387.0,6.0,78227.0,10,9,1,
GenerativeEngine,2024-10-13 19:58:05,E695438D-1A2F-4B81-B8A2-AA745ECC7553,1000.0,744818.0,260.0,87815.0,8.0,85655.0,11,9,2,
GenerativeEngine,2024-10-13 19:58:05,C1BCAF23-956E-4448-BB18-331DD1EA605E,1.0,744818.0,260.0,95436.0,8.0,93276.0,12,10,2,
GenerativeEngine,2024-10-13 19:58:06,575299BE-8028-4395-915A-1919ECEAD200,1.0,744818.0,260.0,95436.0,8.0,93276.0,13,11,2,
GenerativeEngine,2024-10-13 19:58:06,DFEB18B0-797C-4715-9C5D-56B41C2C8A53,1.0,744818.0,260.0,108385.0,8.0,106225.0,14,12,2,
GenerativeEngine,2024-10-13 19:58:06,7F9CA154-B6F4-4326-B9CA-7FA089DDBFCE,1000.0,744818.0,261.0,120813.0,9.0,118653.0,15,12,3,
GenerativeEngine,2024-10-13 19:58:06,FA5B5A64-6391-47AE-92C3-4DCB7E5997B1,1.0,744818.0,261.0,150304.0,9.0,148144.0,16,13,3,
GenerativeEngine,2024-10-13 19:58:06,1A050076-8D80-4594-91F2-4880A39774D2,1.0,744818.0,261.0,159931.0,9.0,157771.0,17,14,3,
GenerativeEngine,2024-10-13 19:58:06,A9ED75BB-4583-461D-931C-E0BA0562D903,1.0,744818.0,261.0,159931.0,9.0,157771.0,18,15,3,
GenerativeEngine,2024-10-13 19:58:06,019E3FD4-D7A8-45C0-BE43-C974113E1EA3,1000.0,744818.0,265.0,166083.0,13.0,163923.0,19,15,4,
GenerativeEngine,2024-10-13 19:58:06,0FA4D2FD-C2BB-4D31-B002-320B24254B81,1.0,744818.0,265.0,166083.0,13.0,163923.0,20,16,4,
GenerativeEngine,2024-10-13 19:58:06,B873B78F-FB76-4A70-9FF9-CFDFD28D2811,1.0,744818.0,265.0,172720.0,13.0,170560.0,21,17,4,
GenerativeEngine,2024-10-13 19:58:07,1E2930FB-496A-4378-B4E7-F005BD47BD59,1.0,744818.0,265.0,192661.0,13.0,190501.0,22,18,4,
GenerativeEngine,2024-10-13 19:58:07,B8FECEE2-B0BE-437C-ACD2-FADF34EFE0C4,1.0,744818.0,265.0,202439.0,0.0,9596.0,23,19,4,
GenerativeEngine,2024-10-13 19:58:07,068E9E88-F9F8-4EB2-8D7E-64F88DF4FBAA,1.0,744818.0,265.0,213505.0,0.0,6677.0,24,20,4,
GenerativeEngine,2024-10-13 19:58:08,80E7D1FA-6551-4CEC-936B-23F684B1803A,1.0,744818.0,265.0,240860.0,0.0,34032.0,25,21,4,
GenerativeEngine,2024-10-13 19:58:08,2D20CDD6-4236-4333-9F23-2F1DE2F604F6,1.0,744818.0,265.0,255783.0,0.0,48955.0,26,22,4,
GenerativeEngine,2024-10-13 19:58:08,70D875A2-E544-4DBF-B50E-93D336434974,1.0,744818.0,265.0,267510.0,0.0,60682.0,27,23,4,
GenerativeEngine,2024-10-13 19:58:08,C68F73D9-D27D-4979-8A8B-CA4B7CDBC7F9,1.0,744818.0,265.0,267510.0,0.0,60682.0,28,24,4,
GenerativeEngine,2024-10-13 19:58:08,9E17AD07-5C3B-415D-AD74-729C84C68AFB,1.0,744818.0,265.0,283392.0,0.0,76564.0,29,25,4,
GenerativeEngine,2024-10-13 19:58:09,478A602F-BC9F-424E-AEEB-DD3162FD669D,1000.0,744818.0,272.0,323986.0,7.0,117158.0,30,25,5,
GenerativeEngine,2024-10-13 19:58:09,74A36AC1-8B3B-4AEC-9EF1-FD1DBFBC7CCA,1.0,744818.0,272.0,323986.0,7.0,117158.0,31,26,5,
GenerativeEngine,2024-10-13 19:58:09,62B9B1BE-3991-4FE1-850D-146CFCB4FD98,1.0,744818.0,272.0,339923.0,7.0,133095.0,32,27,5,
GenerativeEngine,2024-10-13 19:58:09,841AA366-2425-40B7-86DA-349E00FA2F1E,1.0,744818.0,272.0,348128.0,7.0,141300.0,33,28,5,
GenerativeEngine,2024-10-13 19:58:09,DA5CBBE8-B57A-4B68-A1D9-E1D340DF37C5,1.0,744818.0,272.0,354607.0,7.0,147779.0,34,29,5,
GenerativeEngine,2024-10-13 19:58:10,4961D380-56FE-4A3C-A8B8-F92D3593C8E7,1.0,744818.0,272.0,354607.0,7.0,147779.0,35,30,5,
GenerativeEngine,2024-10-13 19:58:10,3B2405F8-99F5-4985-8C5E-F85EBA0537C2,1.0,744818.0,272.0,364004.0,0.0,1466.0,36,31,5,
GenerativeEngine,2024-10-13 19:58:10,9313F725-B4F9-488C-B92D-573A6D94BE59,1.0,744818.0,272.0,378556.0,0.0,16018.0,37,32,5,
GenerativeEngine,2024-10-13 19:58:10,32BCFEDB-A42E-4FFD-8389-1F5632CBDBB6,1.0,744818.0,272.0,378556.0,0.0,16018.0,38,33,5,
GenerativeEngine,2024-10-13 19:58:10,3D67527A-8205-41A4-956A-5AE599821B9D,1.0,744818.0,272.0,388348.0,0.0,25810.0,39,34,5,
GenerativeEngine,2024-10-13 19:58:10,68CE9519-1949-4A13-944F-C30C798DC208,1.0,744818.0,272.0,397848.0,0.0,35310.0,40,35,5,
GenerativeEngine,2024-10-13 19:58:10,8D8F3C77-F94E-4476-B047-5064CF128D62,1.0,744818.0,272.0,397848.0,0.0,35310.0,41,36,5,
GenerativeEngine,2024-10-13 19:58:10,FAB0F92E-023D-433B-BBAC-D57B90479FBB,1.0,744818.0,272.0,410739.0,0.0,48201.0,42,37,5,
GenerativeEngine,2024-10-13 19:58:10,FD2901CC-C2CF-4310-A7B3-464DFBA97A5B,1000.0,744818.0,289.0,418339.0,17.0,2232.0,43,37,6,
GenerativeEngine,2024-10-13 19:58:10,E1B18009-019A-40CA-B572-F46ACB697A01,1.0,744818.0,289.0,425043.0,17.0,8936.0,44,38,6,
GenerativeEngine,2024-10-13 19:58:11,8D07CA91-F616-4F73-A2D2-9D1A8205D838,1.0,744818.0,289.0,425043.0,17.0,8936.0,45,39,6,
GenerativeEngine,2024-10-13 19:58:11,7FED7873-E4E7-494D-98A3-46D1C99B366F,1000.0,744818.0,293.0,448858.0,21.0,32751.0,46,39,7,
GenerativeEngine,2024-10-13 19:58:11,FD8B0B19-0C2E-448F-81A6-4646CD03548C,1.0,744818.0,293.0,471662.0,21.0,55555.0,47,40,7,
GenerativeEngine,2024-10-13 19:58:11,BAB9F8F1-3CF9-4842-9D91-266C66580906,1.0,744818.0,293.0,482382.0,21.0,66275.0,48,41,7,
GenerativeEngine,2024-10-13 19:58:12,9D52D91C-D339-4051-BB9A-D1096CC1A1AD,1.0,744818.0,293.0,522961.0,21.0,106854.0,49,42,7,
GenerativeEngine,2024-10-13 19:58:12,1272F081-BDCA-43F2-95C4-EED1A5A8E526,1.0,744818.0,293.0,534844.0,21.0,118737.0,50,43,7,
GenerativeEngine,2024-10-13 19:58:13,60A34F1F-F8CF-41E9-A4DB-E6CD705F88BE,1.0,744818.0,293.0,546868.0,0.0,11836.0,51,44,7,
GenerativeEngine,2024-10-13 19:58:13,DDF772ED-C809-4073-98F6-586F3240523A,1.0,744818.0,293.0,546868.0,0.0,11836.0,52,45,7,
GenerativeEngine,2024-10-13 19:58:13,82B2ED9B-C4AE-4D0E-9486-7C54532BFF93,1.0,744818.0,293.0,556054.0,0.0,8785.0,53,46,7,
GenerativeEngine,2024-10-13 19:58:14,93176F14-BAEF-491C-935A-5AF410147362,1.0,744818.0,293.0,565120.0,0.0,17851.0,54,47,7,
GenerativeEngine,2024-10-13 19:58:14,EAB77F0D-2D7C-4D5E-BE7D-4A2A7AB4F190,1000.0,744818.0,296.0,613617.0,3.0,66348.0,55,47,8,
GenerativeEngine,2024-10-13 19:58:14,B4575369-C027-433E-9C48-1E3D681B22B6,1.0,744818.0,296.0,613617.0,3.0,66348.0,56,48,8,
GenerativeEngine,2024-10-13 19:58:14,89FDD681-74DC-4B6F-B834-15833815498A,1.0,744818.0,296.0,613617.0,3.0,66348.0,57,49,8,
GenerativeEngine,2024-10-13 19:58:14,725FBF3E-AD88-4FBC-8AC5-1F120CD1C57A,1.0,744818.0,296.0,623907.0,0.0,1816.0,58,50,8,
GenerativeEngine,2024-10-13 19:58:15,D103EB91-9094-4086-99A6-575121B22613,1.0,744818.0,296.0,635622.0,0.0,13531.0,59,51,8,
GenerativeEngine,2024-10-13 19:58:15,B3235DED-EBDA-4272-9008-EC5ABBE95844,1.0,744818.0,296.0,636906.0,0.0,14815.0,60,52,8,
GenerativeEngine,2024-10-13 19:58:15,B4B7E875-18D8-4FC0-BE99-D28D50D73080,1.0,744818.0,296.0,636906.0,0.0,14815.0,61,53,8,
GenerativeEngine,2024-10-13 19:58:15,9DDC9833-C6DA-4805-B48D-58175143BFF2,1.0,744818.0,296.0,649858.0,0.0,27767.0,62,54,8,
GenerativeEngine,2024-10-13 19:58:15,E670E7EC-1DDD-423B-B638-7D7980262287,1.0,744818.0,296.0,674689.0,0.0,52598.0,63,55,8,
GenerativeEngine,2024-10-13 19:58:15,F6F16ACD-0605-481B-9982-BC0CB10E4C77,1.0,744818.0,296.0,683722.0,0.0,61631.0,64,56,8,
GenerativeEngine,2024-10-13 19:58:15,95EEABFB-023B-4D56-AB85-359054238D01,1.0,744818.0,296.0,683722.0,0.0,61631.0,65,57,8,
GenerativeEngine,2024-10-13 19:58:15,D6F23CE4-E670-4BDD-AE1D-7F7545FE73B0,1.0,744818.0,296.0,692022.0,0.0,69931.0,66,58,8,
GenerativeEngine,2024-10-13 19:58:15,A5F11999-93F6-4D22-A3FF-D6AF0DEFCEEF,1.0,744818.0,296.0,693485.0,0.0,71394.0,67,59,8,
