Engine,Timestamp,ProgramID,Weight,NumEdges,NumSecCov,NumSecCovTotal,NumSecPerProgram,NumSecPerProgramTotal,TotalPrograms,TotalProgramsLower,TotalProgramsGreater,CodeFilePath
GenerativeEngine,2024-10-11 13:07:32,16D772EE-63D8-40D5-8ED4-E3C14CA5A1AB,1.0,112878.0,0.0,0.0,0.0,0.0,1,1,0,
GenerativeEngine,2024-10-11 13:07:32,E96C9D47-FD59-4B28-8C92-B6B65E36C801,1.0,112878.0,0.0,0.0,0.0,0.0,2,2,0,
GenerativeEngine,2024-10-11 13:07:32,2F13ECB1-FDF9-4574-92A6-3C0A5BFC4981,1.0,112878.0,0.0,0.0,0.0,0.0,3,3,0,
GenerativeEngine,2024-10-11 13:07:32,6F5DFD37-4343-4C25-8E5C-4A72AA3E5DAF,1.0,112878.0,0.0,0.0,0.0,0.0,4,4,0,
GenerativeEngine,2024-10-11 13:07:32,2AA7B250-844A-4A27-8727-CFE23B325EA5,1.0,112878.0,0.0,0.0,0.0,0.0,5,5,0,
GenerativeEngine,2024-10-11 13:07:33,0F2D1DEE-8B92-49A6-81AE-BC74CCDBEF67,1.0,112878.0,0.0,0.0,0.0,0.0,6,6,0,
GenerativeEngine,2024-10-11 13:07:33,4FF50A6F-0368-4EAD-A2B9-170192F52A58,1.0,112878.0,0.0,0.0,0.0,0.0,7,7,0,
GenerativeEngine,2024-10-11 13:07:33,5EF97392-A426-4B6D-B0E0-B42D897BD22A,1.0,112878.0,0.0,0.0,0.0,0.0,8,8,0,
GenerativeEngine,2024-10-11 13:07:33,645643B7-E525-4BDE-9EE7-6D252F25DE10,1.0,112878.0,0.0,0.0,0.0,0.0,9,9,0,
GenerativeEngine,2024-10-11 13:07:33,4DA369D8-5B41-424B-9C22-3E6169CFE884,1.0,112878.0,0.0,0.0,0.0,0.0,10,10,0,
GenerativeEngine,2024-10-11 13:07:33,67ACD859-BAE3-4654-ABD5-59EE18BE8F5C,1.0,112878.0,0.0,0.0,0.0,0.0,11,11,0,
GenerativeEngine,2024-10-11 13:07:33,19234F86-CFD2-4621-B1F1-BEA4FA886807,1.0,112878.0,0.0,0.0,0.0,0.0,12,12,0,
GenerativeEngine,2024-10-11 13:07:33,69DC8B28-F479-46D9-8244-AA1D1E1253A9,1.0,112878.0,0.0,0.0,0.0,0.0,13,13,0,
GenerativeEngine,2024-10-11 13:07:33,DE2B1D38-8884-4270-B7F6-C8E36BA4D4E9,1.0,112878.0,0.0,0.0,0.0,0.0,14,14,0,
GenerativeEngine,2024-10-11 13:07:34,8F33EFE0-CF93-4E61-8AE4-18646C79241F,1000.0,112878.0,553.0,13571.0,138.0,9607.0,15,14,1,
GenerativeEngine,2024-10-11 13:07:38,A67CAC91-8C4F-47A6-A399-25B6D5517EDC,1.0,112878.0,553.0,13571.0,138.0,9607.0,16,15,1,
GenerativeEngine,2024-10-11 13:07:38,AC0FD321-9EA7-4C1E-BCC6-B563001A8B89,1.0,112878.0,553.0,13571.0,138.0,9607.0,17,16,1,
GenerativeEngine,2024-10-11 13:07:38,B5297AB7-3A7F-4BE4-AC3C-14493799D4E5,1.0,112878.0,553.0,13571.0,138.0,9607.0,18,17,1,
GenerativeEngine,2024-10-11 13:07:38,31076CC8-5520-4088-BCDD-4414A0133EBE,1.0,112878.0,553.0,13571.0,138.0,9607.0,19,18,1,
